GEO_ID,median_income_2018,median_income_2010
42101000100,102448,73041
42101000200,47243,43218
42101000300,91354,65577
42101000401,62821,21832
42101000402,78648,50020
42101000500,43702,45357
42101000600,82833,53938
42101000700,55250,38750
42101000801,125822,79000
42101000803,59560,59135
42101000804,92281,62589
42101000901,44444,39265
42101000902,59174,16429
42101001001,104250,85179
42101001002,122358,90699
42101001101,65000,45203
42101001102,64038,68214
42101001201,107175,80547
42101001202,80696,60346
42101001300,111467,53947
42101001400,94049,58125
42101001500,66458,62591
42101001600,96417,62266
42101001700,108125,72083
42101001800,86042,58968
42101001900,91188,48523
42101002000,42500,14153
42101002100,53429,30197
42101002200,63628,20789
42101002300,64107,27667
42101002400,74395,39080
42101002500,60179,27123
42101002701,54957,24291
42101002702,66042,58828
42101002801,52340,29076
42101002802,67183,40927
42101002900,52452,43828
42101003001,51667,31243
42101003002,32115,21910
42101003100,37121,24091
42101003200,25000,25980
42101003300,32438,24097
42101003600,18920,18487
42101003701,30237,29379
42101003702,35267,31328
42101003800,59395,52031
42101003901,44643,39000
42101003902,62466,49517
42101004001,52250,35441
42101004002,58516,40000
42101004101,33149,22220
42101004102,39110,35544
42101004201,57670,40278
42101004202,51563,38237
42101005000,-,-
42101005400,52557,60270
42101005500,55750,47708
42101005600,24167,46321
42101006000,40794,46343
42101006100,31950,45185
42101006200,26047,29899
42101006300,26849,26324
42101006400,27766,31264
42101006500,26981,32171
42101006600,20278,26624
42101006700,33760,28049
42101006900,19896,20030
42101007000,31556,33702
42101007101,24762,30586
42101007102,29183,26590
42101007200,29615,27007
42101007300,25227,24741
42101007400,29840,25714
42101007700,32277,31005
42101007800,37474,39759
42101007900,59050,40115
42101008000,41637,33511
42101008101,32277,25110
42101008102,27168,32423
42101008200,38034,37708
42101008301,34121,23484
42101008302,31015,22706
42101008400,35757,27313
42101008500,31842,25547
42101008601,53393,45250
42101008602,39543,26963
42101008701,44125,31062
42101008702,31823,27297
42101008801,30208,15357
42101008802,18667,12077
42101009000,23333,23315
42101009100,26426,14438
42101009200,21121,19696
42101009300,25884,26838
42101009400,16982,19917
42101009500,24792,19516
42101009600,27704,25843
42101009801,51250,51776
42101009802,54058,50429
42101010000,42256,43262
42101010100,45244,31092
42101010200,23247,17219
42101010300,22368,21164
42101010400,19424,26047
42101010500,21102,19247
42101010600,19111,27991
42101010700,19719,18965
42101010800,21739,19147
42101010900,23231,21063
42101011000,16910,23506
42101011100,31131,20602
42101011200,26453,25261
42101011300,34844,38438
42101011400,37911,32599
42101011500,49056,50823
42101011700,73083,57813
42101011800,41071,35365
42101011900,27038,39322
42101012000,65804,28080
42101012100,43125,37213
42101012201,26903,20000
42101012203,41250,19508
42101012204,52903,43583
42101012500,76599,50129
42101013100,42016,22364
42101013200,22788,14946
42101013300,71146,42031
42101013401,88019,66067
42101013402,94000,75639
42101013500,77429,47679
42101013601,104643,94833
42101013602,94129,67252
42101013700,42442,18760
42101013800,31939,18063
42101013900,22244,12844
42101014000,36923,22656
42101014100,22917,14583
42101014200,96544,63254
42101014300,82692,54438
42101014400,65781,26034
42101014500,18565,15485
42101014600,32357,19623
42101014700,11497,9666
42101014800,16250,9904
42101014900,16695,20335
42101015101,29118,25852
42101015102,16596,11048
42101015200,25617,14741
42101015300,16909,10848
42101015600,23375,15885
42101015700,40432,24966
42101015800,74261,53967
42101016000,60926,49430
42101016100,69263,21384
42101016200,25256,12449
42101016300,18569,14543
42101016400,17757,12365
42101016500,12839,12500
42101016600,15875,13977
42101016701,30503,26466
42101016702,16474,14473
42101016800,14704,30830
42101016901,21042,19491
42101016902,19749,22593
42101017000,42661,21869
42101017100,32027,18250
42101017201,29853,25437
42101017202,21371,18842
42101017300,18125,21016
42101017400,25052,17535
42101017500,18356,13601
42101017601,17392,10754
42101017602,19717,21118
42101017701,20058,15141
42101017702,18125,20144
42101017800,20438,20824
42101017900,34514,23875
